race_id,office,state_po,district,special,race_type,incumbent,incumbent_party,inc_side,dem_candidate,rep_candidate,race_note,pres24,quality_diff,prior_edge,money_log_ratio,money_adj,quality_adj,ideology_gap,ideology_adj,poll_count,poll_avg,poll_weight,fundamentals_mean,margin_median,margin_p10,margin_p90,p_dem
governor-ak,GOV,AK,0,False,rcv_bloc,Mike Dunleavy,R,0,Jonathan Kreiss-Tomkins,Dave Bronson; Treg Taylor; Bernadette Wilson,,-13.69312508474994,-1.0,,,0.0,-2.2219861486818213,0.0,0.0,,,0.0,-7.519008466564868,-7.6499490404474475,-18.707922806370878,3.534835626595857,0.1929
governor-al,GOV,AL,0,False,standard,Kay Ivey,R,0,Doug Jones,Tommy Tuberville,,-30.88122385938789,0.0,,,0.0,0.0,0.0,0.0,2.0,-8.88892164824456,0.4461109991671839,-22.833271073934455,-16.619604511047285,-25.019820415715948,-8.15384891258154,0.00625
governor-ar,GOV,AR,0,False,standard,Sarah Huckabee Sanders,R,-1,Fredrick Love,Sarah Huckabee Sanders,,-31.33998647229675,-2.0,-7.255158514818348,,0.0,-0.10446636309444265,0.0,0.0,1.0,-5.882352941176471,0.4861279377615871,-23.939768542859177,-15.168050222324144,-22.953746218341188,-7.492225845615255,0.00565
governor-az,GOV,AZ,0,False,standard,Katie Hobbs,D,1,Katie Hobbs,Andy Biggs,,-5.588317921733368,1.0,7.6689197284775075,,0.0,0.8675215661740192,0.0,0.0,21.0,8.519404119803923,0.6702958395973831,13.653951950319284,10.275795420852248,3.8685253009656666,16.682926807058447,0.9813
governor-ca,GOV,CA,0,False,standard,Gavin Newsom,D,0,Xavier Becerra,Steve Hilton,,20.80028514359668,2.0,,,0.0,0.01633902328079712,0.0,0.0,8.0,24.107471722397424,0.6941184876474172,28.917655609705566,25.664981909818938,19.195124238002045,32.03296985652421,1.0
governor-co,GOV,CO,0,False,standard,Jared Polis,D,0,Phil Weiser,Victor Marx,,11.293083462132921,2.0,,,0.0,0.3744876889017435,0.0,0.0,,,0.0,19.977490614803965,20.01855450932426,8.91943987468528,30.94080896577047,0.98995
governor-ct,GOV,CT,0,False,standard,Ned Lamont,D,1,Ned Lamont,Ryan Fazio,,14.756464972518335,2.0,-0.0977415708014532,,0.0,0.022971858744164214,0.0,0.0,8.0,15.48960122790455,0.6675010580601523,28.062646232750097,19.761870884815316,13.22270150091709,26.06545481120949,0.99995
governor-fl,GOV,FL,0,False,standard,Ron DeSantis,R,0,David Jolly,Byron Donalds,,-13.22213886698459,0.0,,,0.0,0.0,0.0,0.0,18.0,-4.623857347008497,0.6780258141065043,-4.821272955924444,-4.696133558771104,-11.261963474104297,1.9984019379426767,0.18065
governor-ga,GOV,GA,0,False,standard,Brian Kemp,R,0,Keisha Lance Bottoms,Rick Jackson,,-2.2087323027962817,2.0,,,0.0,4.123203940510316,0.0,0.0,14.0,-1.8013541755743163,0.7044328342256024,10.355912414568355,1.812061897502628,-4.629853322121299,8.198882509747584,0.6416
governor-hi,GOV,HI,0,False,standard,Josh Green,D,1,Josh Green,Gary Cordery,,23.560651661222998,3.0,3.573901658995034,,0.0,0.00021703505654017965,0.0,0.0,,,0.0,38.93520727354792,38.80144385832405,28.18932681326133,49.64232253011642,1.0
governor-ia,GOV,IA,0,False,standard,Kim Reynolds,R,0,Rob Sand,Zach Lahn,,-13.445597709596235,2.0,,,0.0,4.524519527006944,0.0,0.0,16.0,9.45823105130365,0.6977430976405947,-0.5224408657785165,6.501657412068169,0.10416961310496506,12.840310546220305,0.90355
governor-id,GOV,ID,0,False,standard,Brad Little,R,-1,Terri Pickens,Brad Little,,-37.52184118025308,-3.0,10.678948086950449,,0.0,-5.093590981265464e-05,0.0,0.0,2.0,-17.26548078840463,0.5532828768697747,-41.52907847622708,-28.109412728107145,-35.41209314038443,-20.692620351816547,0.0
governor-il,GOV,IL,0,False,standard,JB Pritzker,D,1,JB Pritzker,Darren Bailey,,11.135530816543426,2.0,2.886310352395446,,0.0,0.043225662714779754,0.0,0.0,1.0,22.727272727272723,0.01266234623503668,26.409713126669057,26.382098282884783,15.639576287799281,36.89465391495921,0.9996
governor-ks,GOV,KS,0,False,standard,Laura Kelly,D,0,Cindy Holscher,Ty Masterson,,-16.411473894550323,0.0,,,0.0,0.0,0.0,0.0,4.0,-5.356291301230189,0.6074541332990278,-8.04777702949481,-6.387044157056691,-13.533392545312182,0.8699775671207051,0.1286
governor-ma,GOV,MA,0,False,standard,Maura Healey,D,1,Maura Healey,Mike Minogue,,25.910638840838516,3.0,2.753934390717476,,0.0,8.197788918088594e-05,0.0,0.0,9.0,20.402815910204076,0.6369668210324183,40.69569854299265,27.818175952703086,21.14272719993847,34.4825170657184,1.0
governor-md,GOV,MD,0,False,standard,Wes Moore,D,1,Wes Moore,Dan Cox,,29.509514054361844,2.0,6.794727593636114,,0.0,1.4123813966496354e-06,0.0,0.0,1.0,26.237078651685394,0.3301923775390752,46.71782510860364,39.88363869425778,30.921809581991315,48.76521133810952,1.0
governor-me,GOV,ME,0,False,standard,Janet Mills,D,0,Hannah Pingree,Robert B. Charles,,7.08861163994892,1.0,,,0.0,0.513419824252719,0.0,0.0,10.0,12.67040112157252,0.693339858091356,15.97393393512161,13.710707826769235,7.244867355954066,20.150213534935965,0.9966
governor-mi,GOV,MI,0,False,standard,Gretchen Whitmer,D,0,Jocelyn Benson,John James,,-1.4424736578339323,0.0,,,0.0,0.0,0.0,0.0,33.0,8.534065775374573,0.7097620906438784,6.996791708956971,8.0815519541436,1.8654152709372929,14.334305806821845,0.95125
governor-mn,GOV,MN,0,False,standard,Tim Walz,D,0,Amy Klobuchar,Lisa Demuth,,4.343404352188957,2.0,,,0.0,1.7476576911819168,0.0,0.0,9.0,10.412255049603026,0.6734088237210708,14.493231177982347,11.783764923438394,5.127959016087818,18.33264182481931,0.9886
governor-ne,GOV,NE,0,False,standard,Jim Pillen,R,-1,Lynne Walz,Jim Pillen,,-20.840683303897794,-2.0,-2.469834530157563,,0.0,-0.8941773506805624,0.0,0.0,7.0,-14.04872307987705,0.5641600843934911,-16.986039087070974,-15.259693809081007,-22.501458718757693,-8.072199456361309,0.0036
governor-nh,GOV,NH,0,False,standard,Kelly Ayotte,R,-1,Cinde Warmington,Kelly Ayotte,,2.821214946726764,-2.0,,,0.0,-4.157360396637356,0.0,0.0,9.0,-11.257649545400692,0.6860743726281625,1.9793063292818078,-7.059059506563509,-13.59200020761534,-0.5630451820947839,0.08075
governor-nm,GOV,NM,0,False,standard,Michelle Lujan Grisham,D,0,Deb Haaland,Gregg Hull,,6.141812228647307,0.0,,,0.0,0.0,0.0,0.0,3.0,11.384868289672188,0.5695004132388783,14.525068188986507,12.841900185638078,5.47323819277463,20.275612334941286,0.98595
governor-nv,GOV,NV,0,False,standard,Joe Lombardo,R,-1,Aaron Ford,Joe Lombardo,,-3.1590179085170167,-1.0,-3.308540504868871,,0.0,-2.6052058224120676,0.0,0.0,12.0,1.259657801606129,0.6123255958061935,-0.3365998588149276,0.6457054491878649,-6.10814435046741,7.625524398130273,0.5491
governor-ny,GOV,NY,0,False,standard,Kathy Hochul,D,1,Kathy Hochul,Bruce Blakeman,,12.689486117138935,2.0,-9.922834376338225,,0.0,0.352569621894976,0.0,0.0,24.0,14.310294049709452,0.6765366379285034,20.1758509195708,16.18936503323341,9.809665252865656,22.53452101485808,0.9997
governor-oh,GOV,OH,0,False,standard,Mike DeWine,R,0,Amy Acton,Vivek Ramaswamy,,-11.313229427274072,0.0,,,0.0,0.0,0.0,0.0,20.0,2.02566462117062,0.6757318863323047,-2.895622235880145,0.40524559651688397,-6.146666861719214,6.964680154088543,0.5307
governor-ok,GOV,OK,0,False,standard,Kevin Stitt,R,0,Cyndi Munson,Mike Mazzei,,-34.94008381234161,0.0,,,0.0,0.0,0.0,0.0,,,0.0,-27.024852223834802,-26.942016446220915,-38.1484510307314,-15.744809472234559,0.00075
