race_id,office,state_po,district,special,race_type,incumbent,incumbent_party,inc_side,dem_candidate,rep_candidate,race_note,pres24,quality_diff,prior_edge,money_log_ratio,money_adj,quality_adj,ideology_gap,ideology_adj,poll_count,poll_avg,poll_weight,fundamentals_mean,margin_median,margin_p10,margin_p90,p_dem
governor-ak,GOV,AK,0,False,rcv_bloc,Mike Dunleavy,R,0,Jonathan Kreiss-Tomkins,Dave Bronson; Treg Taylor; Bernadette Wilson,,-13.69312508474994,-1.0,,,0.0,-2.2220609898291337,0.0,0.0,2.0,7.386329360039589,0.5335268449672086,-7.5186254703421564,0.351386422755615,-7.370250374281019,8.17887423194797,0.52085
governor-al,GOV,AL,0,False,standard,Kay Ivey,R,0,Doug Jones,Tommy Tuberville,,-30.88122385938789,0.0,,,0.0,0.0,0.0,0.0,2.0,-8.88892164824456,0.4461111479042607,-22.832828123287218,-16.618974891287575,-25.01965467709539,-8.153177375660547,0.00625
governor-ar,GOV,AR,0,False,standard,Sarah Huckabee Sanders,R,-1,Fredrick Love,Sarah Huckabee Sanders,,-31.33998647229675,-2.0,-7.255158514818348,,0.0,-0.10448165972434198,0.0,0.0,1.0,-5.882352941176471,0.486128127539083,-23.939341553325484,-15.167969356675872,-22.953310553684414,-7.491651362265513,0.00565
governor-az,GOV,AZ,0,False,standard,Katie Hobbs,D,1,Katie Hobbs,Andy Biggs,,-5.588317921733368,1.0,7.6689197284775075,,0.0,0.8674509477197646,0.0,0.0,20.0,8.517151120189403,0.6694847104250176,13.654339717498425,10.281542796080952,3.8660552036912548,16.694882769635804,0.98115
governor-ca,GOV,CA,0,False,standard,Gavin Newsom,D,0,Xavier Becerra,Steve Hilton,,20.80028514359668,2.0,,,0.0,0.016336177917502453,0.0,0.0,7.0,24.10648078592262,0.6909032728222498,28.918086635779467,25.675847278391554,19.183172294878414,32.08014568626481,1.0
governor-co,GOV,CO,0,False,standard,Jared Polis,D,0,Phil Weiser,Victor Marx,,11.293083462132921,2.0,,,0.0,0.3744421005372653,0.0,0.0,,,0.0,19.977892170885923,20.018828960647348,8.919323819382472,30.942581530856852,0.98995
governor-ct,GOV,CT,0,False,standard,Ned Lamont,D,1,Ned Lamont,Ryan Fazio,,14.756464972518335,2.0,-0.0977415708014532,,0.0,0.022967897083475006,0.0,0.0,7.0,15.341337508383184,0.6616751070003288,28.06308513948736,19.744075213023393,13.142214273161311,26.08618165843791,0.99995
governor-fl,GOV,FL,0,False,standard,Ron DeSantis,R,0,David Jolly,Byron Donalds,,-13.22213886698459,0.0,,,0.0,0.0,0.0,0.0,22.0,-4.524065804965649,0.6877235561536312,-4.82081497663067,-4.621955738763264,-11.108543233366573,1.9894339286115106,0.1803
governor-ga,GOV,GA,0,False,standard,Brian Kemp,R,0,Keisha Lance Bottoms,Rick Jackson,,-2.2087323027962817,2.0,,,0.0,4.1230406621708,0.0,0.0,12.0,-1.4694821361457755,0.6963777584332531,10.356206584618779,2.1452839866631352,-4.374426521742227,8.596714476017667,0.66505
governor-hi,GOV,HI,0,False,standard,Josh Green,D,1,Josh Green,Gary Cordery,,23.560651661222998,3.0,3.573901658995034,,0.0,0.00021698469779910445,0.0,0.0,,,0.0,38.935636349752286,38.80147636818975,28.189989310824732,49.64345800581714,1.0
governor-ia,GOV,IA,0,False,standard,Kim Reynolds,R,0,Rob Sand,Zach Lahn,,-13.445597709596235,2.0,,,0.0,4.524664751793615,0.0,0.0,16.0,8.850180949857661,0.694477415778857,-0.5218377273174223,6.0507084399059,-0.38480094333017545,12.41647599004417,0.88555
governor-id,GOV,ID,0,False,standard,Brad Little,R,-1,Terri Pickens,Brad Little,,-37.52184118025308,-3.0,10.678948086950449,,0.0,-5.094860091443426e-05,0.0,0.0,2.0,-17.26548078840463,0.5532831227015591,-41.528646568083225,-28.109089258483834,-35.41229296868349,-20.691540481300578,0.0
governor-il,GOV,IL,0,False,standard,JB Pritzker,D,1,JB Pritzker,Darren Bailey,,11.135530816543426,2.0,2.886310352395446,,0.0,0.04321858242156072,0.0,0.0,1.0,22.727272727272723,0.012662346363793948,26.410153369850224,26.3825492893719,15.639855762365208,36.89495636288893,0.9996
governor-ks,GOV,KS,0,False,standard,Laura Kelly,D,0,Cindy Holscher,Ty Masterson,,-16.411473894550323,0.0,,,0.0,0.0,0.0,0.0,4.0,-5.356291301230189,0.6074544090775338,-8.047320281633436,-6.386950935832617,-13.533329386366395,0.8708063071737343,0.12865
governor-ma,GOV,MA,0,False,standard,Maura Healey,D,1,Maura Healey,Mike Minogue,,25.910638840838516,3.0,2.753934390717476,,0.0,8.195820918807449e-05,0.0,0.0,9.0,20.402815910204076,0.6369671468520326,40.69612330221228,27.817924977194693,21.142913749499346,34.4825097074162,1.0
governor-md,GOV,MD,0,False,standard,Wes Moore,D,1,Wes Moore,Dan Cox,,29.509514054361844,2.0,6.794727593636114,,0.0,1.4119987620506159e-06,0.0,0.0,1.0,26.237078651685394,0.3301924650933959,46.71824268759248,39.88423948557762,30.92302120098442,48.765641203692354,1.0
governor-me,GOV,ME,0,False,standard,Janet Mills,D,0,Hannah Pingree,Robert B. Charles,,7.08861163994892,1.0,,,0.0,0.5133700548233835,0.0,0.0,9.0,12.661701474355779,0.6899727929341859,15.974335619480948,13.717077970417419,7.218610635911428,20.184136453037187,0.9964
